From	To
G5EBX0	WBGene00002228
G5EBX3	WBGene00000876
G5EBX4	WBGene00019807
G5EBX5	WBGene00009658
G5EBX6	WBGene00000796
G5EBX9	WBGene00003969
G5EBY0	WBGene00009103
G5EBY6	WBGene00004016
G5EBY8	WBGene00006852
G5EBZ1	WBGene00008140
G5EBZ4	WBGene00002637
G5EC00	WBGene00008819
G5EC05	WBGene00001352
G5EC09	WBGene00009057
G5EC10	WBGene00002272
G5EC14	WBGene00007030
G5EC16	WBGene00004887
G5EC23	WBGene00001827
G5EC25	WBGene00013024
G5EC31	WBGene00000112
G5EC32	WBGene00012891
G5EC36	WBGene00002989
G5EC44	WBGene00003417
G5EC45	WBGene00009996
G5EC53	WBGene00016934
G5EC63	WBGene00013197
G5EC64	WBGene00006438
G5EC69	WBGene00011755
G5EC75	WBGene00000533
G5EC84	WBGene00017625
G5EC86	WBGene00003864
G5EC87	WBGene00014249
G5EC88	WBGene00013607
G5EC91	WBGene00001073
G5EC98	WBGene00012316
G5ECB2	WBGene00022675
G5ECB5	WBGene00011417
G5ECB5	WBGene00011420
G5ECC0	WBGene00002226
G5ECC1	WBGene00008768
G5ECC3	WBGene00004373
G5ECC4	WBGene00020646
G5ECC7	WBGene00009267
G5ECD7	WBGene00003196
G5ECE3	WBGene00002248
G5ECE8	WBGene00011923
G5ECF0	WBGene00008183
G5ECF4	WBGene00000257
G5ECH1	WBGene00009672
G5ECH5	WBGene00008878
G5ECH7	WBGene00000407
G5ECI8	WBGene00013361
G5ECJ4	WBGene00003172
G5ECJ6	WBGene00000812
G5ECJ7	WBGene00045338
G5ECJ8	WBGene00001478
G5ECK4	WBGene00044989
G5ECK8	WBGene00001626
G5ECL1	WBGene00010875
G5ECL2	WBGene00006763
G5ECL3	WBGene00004188
G5ECL7	WBGene00009153
G5ECM0	WBGene00008570
G5ECM6	WBGene00007000
G5ECM9	WBGene00000534
G5ECN9	WBGene00001172
G5ECP0	WBGene00011261
G5ECP4	WBGene00004029
G5ECP7	WBGene00010434
G5ECQ2	WBGene00000478
G5ECQ3	WBGene00004762
G5ECR1	WBGene00023409
G5ECR6	WBGene00015270
G5ECR6	WBGene00044734
G5ECR7	WBGene00001235
G5ECR8	WBGene00008706
G5ECR9	WBGene00006790
G5ECS9	WBGene00011122
G5ECT6	WBGene00001682
G5ECT8	WBGene00000429
G5ECU1	WBGene00004807
G5ECU4	WBGene00014093
G5ECU6	WBGene00000614
G5ECU8	WBGene00000540
G5ECV9	WBGene00000109
G5ECW3	WBGene00009098
G5ECW4	WBGene00008555
G5ECW7	WBGene00008532
G5ECW9	WBGene00004375
G5ECX0	WBGene00002252
G5ECX2	WBGene00002243
G5ECX8	WBGene00010736
G5ECY0	WBGene00001006
G5ECY2	WBGene00005644
G5ECY6	WBGene00000500
G5ECZ0	WBGene00002038
G5ECZ4	WBGene00001118
G5ECZ8	WBGene00003404
G5ED01	WBGene00012148
G5ED03	WBGene00001366
G5ED07	WBGene00003964
G5ED09	WBGene00010399
G5ED09	WBGene00011584
G5ED17	WBGene00010427
G5ED21	WBGene00012999
G5ED24	WBGene00003143
G5ED30	WBGene00006875
G5ED33	WBGene00001330
G5ED34	WBGene00001007
G5ED36	WBGene00004378
G5ED37	WBGene00003885
G5ED38	WBGene00000620
G5ED41	WBGene00013606
G5ED43	WBGene00001480
G5ED44	WBGene00001397
G5ED45	WBGene00002043
G5ED46	WBGene00000403
G5ED58	WBGene00004952
G5ED60	WBGene00010420
G5ED64	WBGene00008396
G5ED65	WBGene00006894
G5ED76	WBGene00006761
G5ED80	WBGene00011696
G5ED82	WBGene00007126
G5ED84	WBGene00020952
G5ED86	WBGene00011009
G5ED87	WBGene00013492
G5ED88	WBGene00003733
G5ED89	WBGene00000938
G5ED97	WBGene00006442
G5ED98	WBGene00004089
G5ED99	WBGene00004191
G5EDB0	WBGene00007531
G5EDB6	WBGene00021425
G5EDB7	WBGene00006762
G5EDB8	WBGene00006913
G5EDB9	WBGene00004254
G5EDC6	WBGene00000192
G5EDD1	WBGene00012158
G5EDD3	WBGene00006876
G5EDD5	WBGene00007690
G5EDD8	WBGene00004808
G5EDE4	WBGene00012343
G5EDE5	WBGene00022154
G5EDE8	WBGene00002070
G5EDF0	WBGene00001707
G5EDF6	WBGene00003886
G5EDF7	WBGene00004758
G5EDG2	WBGene00010845
G5EDG4	WBGene00001863
G5EDG6	WBGene00000691
G5EDG6	WBGene00000594
G5EDG9	WBGene00012663
G5EDH0	WBGene00013955
G5EDH3	WBGene00010479
G5EDI1	WBGene00007592
G5EDI2	WBGene00004336
G5EDI3	WBGene00009354
G5EDI8	WBGene00001090
G5EDJ3	WBGene00001320
G5EDJ6	WBGene00001043
G5EDJ9	WBGene00012786
G5EDK1	WBGene00000208
G5EDK5	WBGene00001475
G5EDL0	WBGene00002990
G5EDL5	WBGene00010628
G5EDM1	WBGene00003558
G5EDN2	WBGene00194986
G5EDN6	WBGene00000554
G5EDN7	WBGene00008597
G5EDN8	WBGene00006882
G5EDP0	WBGene00012530
G5EDP2	WBGene00013284
G5EDP6	WBGene00001476
G5EDP7	WBGene00001641
G5EDP9	WBGene00000001
G5EDR3	WBGene00006352
G5EDR5	WBGene00001505
G5EDR9	WBGene00003838
G5EDS1	WBGene00006870
G5EDS8	WBGene00009289
G5EDT1	WBGene00003020
G5EDT2	WBGene00007670
G5EDT9	WBGene00009460
G5EDU1	WBGene00004063
G5EDU3	WBGene00004040
G5EDU4	WBGene00001324
G5EDU6	WBGene00003033
G5EDU7	WBGene00002245
G5EDV3	WBGene00000475
G5EDW2	WBGene00002251
G5EDW5	WBGene00000074
G5EDW9	WBGene00008361
G5EDX1	WBGene00002181
G5EDX5	WBGene00010403
G5EDX7	WBGene00001483
G5EDY0	WBGene00009552
G5EDY2	WBGene00006945
G5EDZ9	WBGene00000535
G5EE03	WBGene00022273
G5EE04	WBGene00011735
G5EE06	WBGene00043986
G5EE11	WBGene00009563
G5EE12	WBGene00010631
G5EE14	WBGene00000834
G5EE16	WBGene00008094
G5EE22	WBGene00012448
G5EE23	WBGene00008666
G5EE36	WBGene00002013
G5EE37	WBGene00002047
G5EE40	WBGene00005642
G5EE41	WBGene00000835
G5EE42	WBGene00014226
G5EE46	WBGene00010055
G5EE56	WBGene00005077
G5EE65	WBGene00011906
G5EE66	WBGene00003258
G5EE68	WBGene00006807
G5EE72	WBGene00003411
G5EE74	WBGene00003829
G5EE77	WBGene00017867
G5EE80	WBGene00009012
G5EE86	WBGene00006654
G5EE96	WBGene00019656
G5EE99	WBGene00011827
G5EEA1	WBGene00002987
G5EEA7	WBGene00010788
G5EEB6	WBGene00001075
G5EED5	WBGene00004743
G5EED9	WBGene00010813
G5EEE1	WBGene00020222
G5EEE2	WBGene00006525
G5EEE7	WBGene00006869
G5EEF7	WBGene00003397
G5EEG4	WBGene00008415
G5EEG5	WBGene00009978
G5EEG6	WBGene00011662
G5EEG7	WBGene00004895
G5EEH3	WBGene00003775
G5EEH5	WBGene00003509
G5EEH6	WBGene00015326
G5EEH9	WBGene00003796
G5EEI8	WBGene00000502
G5EEJ0	WBGene00009738
G5EEJ2	WBGene00000517
G5EEK0	WBGene00000172
G5EEK2	WBGene00010306
G5EEK7	WBGene00004793
G5EEK8	WBGene00004736
G5EEL2	WBGene00006481
G5EEL5	WBGene00000936
G5EEL7	WBGene00001507
G5EEM5	WBGene00006994
G5EEM6	WBGene00006524
G5EEM9	WBGene00019747
G5EEN3	WBGene00000419
G5EEN4	WBGene00013355
G5EEN6	WBGene00004298
G5EEN7	WBGene00012643
G5EEP3	WBGene00001406
G5EEQ3	WBGene00014200
G5EEQ8	WBGene00011605
G5EER4	WBGene00019813
G5EES1	WBGene00000541
G5EES3	WBGene00000105
G5EES5	WBGene00009255
G5EES6	WBGene00007333
G5EES9	WBGene00021826
G5EET5	WBGene00001995
G5EET6	WBGene00013223
G5EEU1	WBGene00043064
G5EEV0	WBGene00011307
G5EEV2	WBGene00007028
G5EEV4	WBGene00006369
G5EEV7	WBGene00000911
G5EEW0	WBGene00000493
G5EEW5	WBGene00010061
G5EEW6	WBGene00000890
G5EEW9	WBGene00000564
G5EEX6	WBGene00012322
G5EEY2	WBGene00007446
G5EEY5	WBGene00007042
G5EEZ0	WBGene00014176
G5EEZ1	WBGene00012370
G5EEZ4	WBGene00012858
G5EEZ5	WBGene00006568
G5EEZ6	WBGene00011705
G5EEZ8	WBGene00001640
G5EF07	WBGene00000274
G5EF11	WBGene00001161
G5EF26	WBGene00007606
G5EF34	WBGene00007103
G5EF38	WBGene00194934
G5EF39	WBGene00006407
G5EF43	WBGene00004910
G5EF48	WBGene00013407
G5EF49	WBGene00007944
G5EF50	WBGene00009896
G5EF51	WBGene00003089
G5EF53	WBGene00004204
G5EF59	WBGene00013422
G5EF60	WBGene00021910
G5EF62	WBGene00009337
G5EF63	WBGene00013011
G5EF65	WBGene00005019
G5EF68	WBGene00006386
G5EF77	WBGene00005662
G5EF80	WBGene00014051
G5EF82	WBGene00011576
G5EF83	WBGene00010480
G5EF86	WBGene00013018
G5EF96	WBGene00006776
G5EF97	WBGene00013808
G5EFA2	WBGene00000249
G5EFA6	WBGene00004285
G5EFB2	WBGene00013963
G5EFB9	WBGene00007860
G5EFC1	WBGene00004272
G5EFC3	WBGene00001202
G5EFC4	WBGene00008386
G5EFC8	WBGene00000933
G5EFD2	WBGene00002239
G5EFD4	WBGene00001815
G5EFD7	WBGene00009784
G5EFD8	WBGene00010892
G5EFD9	WBGene00006324
G5EFE1	WBGene00006468
G5EFE7	WBGene00001508
G5EFF4	WBGene00004773
G5EFF5	WBGene00000908
G5EFF7	WBGene00008852
G5EFF9	WBGene00008670
G5EFG0	WBGene00004759
G5EFG4	WBGene00012097
G5EFG5	WBGene00004064
G5EFH0	WBGene00012351
G5EFH4	WBGene00005647
G5EFH7	WBGene00012386
G5EFI4	WBGene00002268
G5EFI7	WBGene00004134
G5EFI8	WBGene00004036
G5EFI9	WBGene00002042
G5EFK4	WBGene00000183
G5EFK6	WBGene00001639
G5EFL1	WBGene00015767
G5EFL5	WBGene00001132
G5EFL9	WBGene00000521
G5EFM0	WBGene00003160
G5EFM9	WBGene00008956
G5EFN2	WBGene00009245
G5EFN7	WBGene00002031
G5EFP8	WBGene00012911
G5EFQ1	WBGene00019460
G5EFQ4	WBGene00002218
G5EFQ5	WBGene00004393
G5EFR8	WBGene00004195
G5EFS0	WBGene00009618
G5EFS1	WBGene00002069
G5EFS2	WBGene00003423
G5EFS4	WBGene00000940
G5EFT5	WBGene00002004
G5EFT7	WBGene00013852
G5EFU0	WBGene00006443
G5EFU2	WBGene00020140
G5EFU8	WBGene00000700
G5EFU8	WBGene00000701
G5EFV2	WBGene00013994
G5EFV5	WBGene00000408
G5EFV7	WBGene00004028
G5EFV8	WBGene00007059
G5EFW3	WBGene00004855
G5EFW7	WBGene00000906
G5EFW8	WBGene00010485
G5EFX3	WBGene00013416
G5EFX6	WBGene00004854
G5EFX8	WBGene00003826
G5EFY1	WBGene00018721
G5EFY5	WBGene00003779
G5EFY6	WBGene00011338
G5EFZ7	WBGene00003066
G5EFZ9	WBGene00016735
G5EG05	WBGene00001188
G5EG07	WBGene00015437
G5EG10	WBGene00003233
G5EG11	WBGene00001396
G5EG14	WBGene00012230
G5EG17	WBGene00010056
G5EG18	WBGene00000795
G5EG22	WBGene00002046
G5EG38	WBGene00001281
G5EG43	WBGene00004184
G5EG47	WBGene00010054
G5EG49	WBGene00013998
G5EG50	WBGene00011416
G5EG50	WBGene00011419
G5EG51	WBGene00011333
G5EG53	WBGene00006770
G5EG58	WBGene00004003
G5EG59	WBGene00000798
G5EG62	WBGene00006781
G5EG65	WBGene00001844
G5EG68	WBGene00018304
G5EG78	WBGene00004257
G5EG80	WBGene00006612
G5EG81	WBGene00011980
G5EG87	WBGene00017702
G5EG96	WBGene00006611
G5EGA1	WBGene00005023
G5EGA3	WBGene00002276
G5EGA4	WBGene00000527
G5EGA7	WBGene00004311
G5EGB3	WBGene00012497
G5EGD6	WBGene00012319
G5EGE2	WBGene00000584
G5EGE3	WBGene00009793
G5EGE7	WBGene00022129
G5EGE8	WBGene00012389
G5EGF0	WBGene00000484
G5EGF1	WBGene00009574
G5EGF3	WBGene00009032
G5EGF8	WBGene00006580
G5EGG0	WBGene00010713
G5EGG2	WBGene00001998
G5EGH2	WBGene00003384
G5EGH6	WBGene00001399
G5EGI1	WBGene00011729
G5EGI7	WBGene00006978
G5EGI8	WBGene00009781
G5EGJ5	WBGene00002048
G5EGJ9	WBGene00009717
G5EGK1	WBGene00006771
G5EGK5	WBGene00000289
G5EGK6	WBGene00008549
G5EGK7	WBGene00013901
G5EGK8	WBGene00002363
G5EGL2	WBGene00012126
G5EGM1	WBGene00006987
G5EGM3	WBGene00006382
G5EGN2	WBGene00001398
G5EGN9	WBGene00012016
G5EGP1	WBGene00006845
G5EGP8	WBGene00000788
G5EGQ5	WBGene00011315
G5EGQ6	WBGene00006498
G5EGQ9	WBGene00003774
G5EGR4	WBGene00044079
G5EGR8	WBGene00012192
G5EGS3	WBGene00002223
G5EGS4	WBGene00002184
G5EGS5	WBGene00007703
G5EGT1	WBGene00003906
G5EGT4	WBGene00000532
G5EGT6	WBGene00010354
G5EGT7	WBGene00021857
G5EGT9	WBGene00003007
G5EGU1	WBGene00001196
G5EGU4	WBGene00001687
G8JYB8	WBGene00006975
H1UBJ9	WBGene00012995
H1UBK1	WBGene00003130
H1UBK3	WBGene00013455
H1ZUW3	WBGene00022865
H2FLH4	WBGene00000174
H2FLJ1	WBGene00006061
H2FLJ4	WBGene00219316
H2FLL1	WBGene00002263
H2FLM3	WBGene00007752
H2KMJ0	WBGene00013608
H2KML1	WBGene00004403
H2KY75	WBGene00015145
H2KY80	WBGene00017699
H2KY84	WBGene00020251
H2KY86	WBGene00021905
H2KY90	WBGene00015171
H2KY93	WBGene00018364
H2KY99	WBGene00021294
H2KYA0	WBGene00021295
H2KYB6	WBGene00021444
H2KYB8	WBGene00017929
H2KYD0	WBGene00015815
H2KYE0	WBGene00015344
H2KYE9	WBGene00044071
H2KYF1	WBGene00016074
H2KYF2	WBGene00018860
H2KYI5	WBGene00015551
H2KYI7	WBGene00006496
H2KYI9	WBGene00000959
H2KYJ5	WBGene00018395
H2KYJ6	WBGene00020373
H2KYL6	WBGene00002224
H2KYM6	WBGene00015635
H2KYN0	WBGene00016643
H2KYN6	WBGene00018285
H2KYP2	WBGene00003567
H2KYP7	WBGene00004068
H2KYQ0	WBGene00015695
H2KYQ5	WBGene00006863
H2KYT5	WBGene00019211
H2KYU6	WBGene00019120
H2KYV1	WBGene00016118
H2KYW1	WBGene00003516
H2KYW8	WBGene00015982
H2KYY2	WBGene00016030
H2KYZ5	WBGene00016866
H2KZ00	WBGene00004131
H2KZ07	WBGene00016088
H2KZ11	WBGene00016106
H2KZ19	WBGene00016415
H2KZ27	WBGene00016174
H2KZ29	WBGene00017158
H2KZ40	WBGene00022459
H2KZ54	WBGene00016292
H2KZ70	WBGene00022618
H2KZ86	WBGene00016507
H2KZA2	WBGene00018161
H2KZC2	WBGene00019205
H2KZC9	WBGene00006483
H2KZD1	WBGene00018756
H2KZF0	WBGene00016902
H2KZF3	WBGene00022158
H2KZF6	WBGene00006310
H2KZF8	WBGene00016918
H2KZG4	WBGene00016939
H2KZG6	WBGene00016943
H2KZG7	WBGene00019434
H2KZI9	WBGene00000101
H2KZJ3	WBGene00019831
H2KZJ5	WBGene00017062
H2KZJ7	WBGene00017070
H2KZK4	WBGene00018090
H2KZK7	WBGene00001056
H2KZK9	WBGene00021847
H2KZL6	WBGene00006968
H2KZL7	WBGene00006434
H2KZM9	WBGene00019230
H2KZP1	WBGene00002182
H2KZP8	WBGene00017329
H2KZQ6	WBGene00001374
H2KZQ8	WBGene00017419
H2KZS0	WBGene00020658
H2KZU5	WBGene00017886
H2KZV4	WBGene00017760
H2KZV6	WBGene00020209
H2KZV8	WBGene00003375
H2KZV9	WBGene00001489
H2KZW3	WBGene00006971
H2KZW7	WBGene00021394
H2KZY5	WBGene00018533
H2KZZ2	WBGene00020930
H2KZZ6	WBGene00018075
H2L003	WBGene00018700
H2L011	WBGene00000832
H2L028	WBGene00021535
H2L055	WBGene00018734
H2L056	WBGene00018586
H2L080	WBGene00018872
H2L086	WBGene00004824
H2L092	WBGene00020867
H2L099	WBGene00001526
H2L0B7	WBGene00019204
H2L0C0	WBGene00019209
H2L0C3	WBGene00019227
H2L0C9	WBGene00021709
H2L0D7	WBGene00021645
H2L0E6	WBGene00003986
H2L0G2	WBGene00019686
H2L0G5	WBGene00004210
H2L0G7	WBGene00022347
H2L0H3	WBGene00019946
H2L0H5	WBGene00019953
H2L0I2	WBGene00022500
H2L0I6	WBGene00022059
H2L0I8	WBGene00020208
H2L0J6	WBGene00022593
H2L0J8	WBGene00020235
H2L0K5	WBGene00020281
H2L0K6	WBGene00020299
H2L0K8	WBGene00219274
H2L0M0	WBGene00004076
H2L0N8	WBGene00021349
H2L0P1	WBGene00000648
H2L0P5	WBGene00022391
H2L0Q3	WBGene00021528
H2L0Q6	WBGene00021811
H2L0S5	WBGene00022180
H2L282	WBGene00006941
H2L2A8	WBGene00008948
H2L2C2	WBGene00012100
H2L2D0	WBGene00012245
H2L2E9	WBGene00009500
H2L2F7	WBGene00006999
H2L2H3	WBGene00007480
H2L2L3	WBGene00013326
H8ESD5	WBGene00012543
H8ESF3	WBGene00004203
H8ESG1	WBGene00001215
H8W3Y2	WBGene00001492
H9G2Q2	WBGene00008430
H9G2R4	WBGene00004831
H9G2T4	WBGene00010317
H9G2Z8	WBGene00008652
H9G328	WBGene00002192
I2HA91	WBGene00009207
I2HAA0	WBGene00008018
I2HAA6	WBGene00006801
I2HAA8	WBGene00013381
I2HAD9	WBGene00009335
I2HAE1	WBGene00021421
I2HAG2	WBGene00219378
I2HAJ6	WBGene00007799
I6Z0I7	WBGene00022816
I7LFE4	WBGene00021798
J3K003	WBGene00007862
J7S122	WBGene00004313
J7SA49	WBGene00002717
J7SF87	WBGene00021183
K7ZUH9	WBGene00001914
K8ERR8	WBGene00045419
K8ERU3	WBGene00016418
K8ERU5	WBGene00018328
K8ES01	WBGene00012895
K8ES47	WBGene00013666
K8ESC5	WBGene00013595
K8ESG0	WBGene00008733
K8ESK9	WBGene00004075
K8ESM7	WBGene00013093
K8F7X5	WBGene00013529
K8FE02	WBGene00010908
L8E6I4	WBGene00235102
L8E6P0	WBGene00008793
L8E6Y3	WBGene00016407
L8E946	WBGene00006778
L8EC40	WBGene00008239
M1Z8A0	WBGene00006830
M1ZK05	WBGene00013985
M1ZMI3	WBGene00001485
O01159	WBGene00004704
O01256	WBGene00011858
O01258	WBGene00006931
O01259	WBGene00011860
O01320	WBGene00008531
O01326	WBGene00009163
O01422	WBGene00000814
O01426	WBGene00015029
O01427	WBGene00000099
O01479	WBGene00006823
O01485	WBGene00015743
O01486	WBGene00015744
O01488	WBGene00015742
O01489	WBGene00015746
O01498	WBGene00004109
O01501	WBGene00000871
O01503	WBGene00016492
O01504	WBGene00016493
O01510	WBGene00004879
O01513	WBGene00016740
O01514	WBGene00016744
O01524	WBGene00017605
O01541	WBGene00000197
O01558	WBGene00018543
O01566	WBGene00006624
O01576	WBGene00003797
O01577	WBGene00006833
O01578	WBGene00018765
O01581	WBGene00019522
O01583	WBGene00006437
O01590	WBGene00019599
O01591	WBGene00019604
O01592	WBGene00019962
O01602	WBGene00020417
O01614	WBGene00020592
O01615	WBGene00020588
O01616	WBGene00020593
O01617	WBGene00020587
O01635	WBGene00022815
O01658	WBGene00020902
O01659	WBGene00020901
O01661	WBGene00000368
O01662	WBGene00000627
O01683	WBGene00001973
O01685	WBGene00016333
O01686	WBGene00016331
O01692	WBGene00004486
O01700	WBGene00001008
O01705	WBGene00004361
O01706	WBGene00012162
O01735	WBGene00015632
O01737	WBGene00002889
O01738	WBGene00017646
O01757	WBGene00018866
O01758	WBGene00000966
O01759	WBGene00004087
O01763	WBGene00018156
O01771	WBGene00006625
O01775	WBGene00022631
O01789	WBGene00001860
O01795	WBGene00018771
O01799	WBGene00000622
O01802	WBGene00004418
O01803	WBGene00004274
O01805	WBGene00016655
O01806	WBGene00016653
O01808	WBGene00016650
O01810	WBGene00020933
O01812	WBGene00002258
O01813	WBGene00007057
O01814	WBGene00002257
O01815	WBGene00020932
O01824	WBGene00019008
O01833	WBGene00001856
O01839	WBGene00015176
O01854	WBGene00017975
O01858	WBGene00020259
O01862	WBGene00020258
O01863	WBGene00017010
O01864	WBGene00017004
O01868	WBGene00004436
O01869	WBGene00004479
O01870	WBGene00017003
O01878	WBGene00022576
O01881	WBGene00019464
