entrez_id_cele	entrez_id_hsap
181499	8496
176458	8520
180720	8526
175192	8540
177840	8559
179657	8564
172101	8566
181400	8573
181414	8601
176415	8601
178311	8615
178233	8618
187783	8642
176094	8661
172858	8663
176268	8664
174478	8665
174346	8666
172044	8667
171809	8668
175712	8675
177345	8678
175174	64976
190668	8704
178071	8721
171818	8727
182875	8731
180182	8774
4363109	8774
179193	8775
176387	8780
4926919	8790
177555	8801
181280	8803
191320	8811
176874	8813
176330	8815
181490	8874
181859	8879
189162	8882
176368	8896
178989	8905
176794	6767
174978	8940
180883	8942
178360	8991
175982	9039
176349	9043
174092	9049
181585	9058
176429	9058
174648	8424
172051	4882
173891	271
180446	408
177576	471
173134	498
174272	533
175968	705
181633	56267
185086	56267
180713	1173
184091	1175
176376	1892
171769	1965
171917	2237
176563	4733
173223	5873
181108	6389
172968	6389
175915	6470
180641	6506
178483	6634
180231	7453
176635	9131
176140	9265
174596	9296
175851	9343
189429	9364
176999	9403
177820	9415
177819	9415
180325	9440
173353	9443
176937	9477
3565275	9487
177725	9512
178540	9567
171807	22
174372	617
177436	673
177185	734
171734	54926
174187	1181
180687	1181
171860	1314
186814	1353
176061	1656
179476	2079
175916	2110
181579	1803
172311	2193
3565896	10003
183230	10003
180386	10003
176719	2483
180302	2590
176682	2958
175175	3611
174841	4171
172933	4716
172363	4722
176816	5071
172556	5106
175171	5106
175998	5876
173763	6341
177181	6626
179639	6633
179425	6738
176631	7156
174631	7818
172768	8106
190611	1654
174838	9070
176931	8404
172134	9114
183250	9128
176461	9129
173461	9136
180995	9145
175303	9147
172834	9187
191715	9187
179028	2107
259455	9197
177779	9276
174754	9334
176233	9342
171897	9352
181562	9353
172966	9361
181319	9410
172015	9410
175818	9416
173345	9439
171735	9474
176434	1213
172676	9519
179218	9526
178823	9533
176009	9538
180456	9554
176837	9588
178078	9632
174673	832
176774	1020
174308	1497
187322	1612
176913	1653
173920	1659
190566	3416
182987	3416
178966	3416
182128	3416
182127	3416
180049	4287
177786	4698
175429	4704
175904	4715
178735	4719
174645	4809
181230	4925
181021	5130
353380	5130
173200	5137
174999	5229
176143	5347
171838	5347
176012	5393
179968	5826
178415	5859
174105	5913
174019	5929
180014	9637
175572	9939
187700	9942
3565253	9986
175105	9097
180175	9101
179424	207
181524	207
177038	509
176257	535
175357	892
174268	1650
4363077	2644
181212	2869
176838	2965
174839	3029
177560	3054
175185	3093
182321	3093
184760	3094
174203	3309
180880	3309
174753	4234
175433	5898
175669	9125
176559	9126
178185	9277
179091	10001
180429	10005
182714	10005
173942	10005
178878	10005
188131	10026
173121	8907
179409	10055
172655	3419
172477	3612
180871	3632
174159	3735
178942	3831
177956	3911
172799	3998
174800	4329
179488	4361
178846	6654
174120	6857
192052	6884
175836	6999
182375	7113
174351	10056
173383	10073
174508	26284
176847	10084
188208	10084
172940	10087
183522	10092
171882	10092
175650	10093
176697	10094
179440	10097
177890	10098
179683	10102
175247	10109
180974	10130
179947	10153
176842	10157
174151	10171
179801	10175
182257	10190
175065	10195
173744	10213
176690	10237
182812	10247
172820	10269
172303	10273
175534	10284
188435	10286
173440	10291
172986	10299
172510	4121
181517	4126
178831	4176
179041	4190
172661	4236
178290	4285
174254	4524
173581	7203
177609	7386
177074	7873
174594	8192
181330	8842
190176	8846
178287	10367
173777	10380
177895	10399
176432	11069
176561	10421
176756	10449
178260	1783
185685	3927
172910	4738
266842	4905
13180975	4905
177097	5036
178503	5264
190941	5300
190268	23760
173368	5426
175660	5437
179178	5438
175056	5439
180263	5536
181727	5563
176991	5593
176626	6748
182474	7251
173224	7407
177998	7841
172116	8243
178150	10336
176488	10436
177242	10245
175249	10444
190608	10463
183878	10467
172302	10469
177236	10480
180317	10484
172774	10518
174033	10525
181422	10525
179442	10528
178005	10533
266861	10535
175837	10540
177637	10550
3565442	10552
6418622	10553
173389	10558
173231	10565
179443	10569
173400	10573
178670	10574
174330	10575
174421	10576
176259	10587
190922	10588
176153	10594
173772	10606
190203	10607
172081	10621
175925	5704
177859	6301
187434	8089
180585	8100
190579	9960
178828	10539
177532	10641
176087	10651
176031	10652
179508	10654
173401	10659
180303	10667
171891	10671
176928	10694
182526	10695
176754	10726
189042	10809
172511	10845
183125	10846
177458	10856
179494	10910
174150	10915
174149	10915
178028	132
175552	4174
177202	6888
173917	8315
178734	7542
174038	10885
174135	10892
175573	10935
171915	10939
174364	10946
178587	10963
173968	10969
179567	10972
190256	10973
175442	10978
179972	10979
178289	10980
176369	11011
178145	50999
3564813	11019
2565698	4535
2565700	4512
2565697	4513
181528	3420
172010	6388
174368	6782
172552	6877
181640	7922
172657	11051
172651	11056
182228	11072
179115	11103
177491	11128
178277	11137
177990	11153
174696	4723
259497	5412
177028	6747
174624	7415
174309	7415
178178	11160
172371	11181
179604	11181
173388	11181
171694	11194
172984	11198
173906	11212
173278	11231
180787	11253
177726	11253
186617	11261
179415	11261
184650	11264
175672	11267
174418	55308
177681	11284
176382	11285
180449	11311
176766	11316
175722	11321
174034	11331
174383	3373
181652	51614
175903	84549
180307	222068
177926	3376
181163	161
177216	91869
172190	23590
172305	55650
177856	5464
175094	3842
173205	29789
174963	51102
175973	55163
180180	24148
175543	24140
179969	123096
175920	56052
189126	11164
3565577	55666
173952	55666
175368	55858
179616	5091
176996	55775
179364	23193
180400	23193
173453	56996
176943	9879
185809	51020
180478	6399
171590	28989
179583	54623
172979	9054
171887	79075
171594	9489
174410	11079
174781	64080
175671	114049
173001	55364
173439	54475
178964	283871
176232	283871
178963	283871
178965	283871
183469	283871
188555	92675
176531	55651
174764	728294
179506	197257
174511	102157402
176090	153527
171949	6137
173812	55720
183400	29925
178038	55687
177054	79039
176399	2819
172258	9775
190485	9775
179473	51542
175766	26275
176950	51728
179920	55621
173575	29104
185707	23256
176375	79877
174318	6950
173656	1315
184972	414328
175719	10352
176717	55005
172780	51077
172999	51362
180448	23413
172106	23463
187374	23463
171970	56949
172075	80255
